"","logFC","logCPM","F","PValue","FDR"
"CMTR2",0.730353885252229,3.54303618842048,0.511496803964202,0.474512097951094,1
"SASH1",-0.535245219879175,3.34062690742461,0.511304583285925,0.474595148554734,1
"SAMHD1",0.686447523268424,3.70469070347624,0.511292205608567,0.474600483088458,1
"RN7SL1",0.382380509468408,5.96312547897453,0.511169185266011,0.474653658595405,1
"UXS1",-0.571532046692028,3.94506418066045,0.510618809683569,0.474891568158944,1
"DVL2",0.784720634627874,3.18489366781151,0.510057626215441,0.475134368211611,1
"GALNT12",0.784720634627874,3.18489366781151,0.510057626215441,0.475134368211611,1
"ACSL3",0.47266096421662,4.83782944094404,0.509535738585355,0.475360350382232,1
"RPL22",0.784342498277184,3.18742220195977,0.509489219687467,0.475380496351107,1
"HIST1H1D",0.719819293812393,4.04443423541779,0.509020112427591,0.475583779040546,1
"HIST1H1B",0.961903692931138,3.65250273358281,0.508804313347963,0.475677345779188,1
"NCOR2",-0.489139630183054,4.27554014923768,0.50875085034081,0.47570053620889,1
